ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
Power box G-37 Pink,Шифра: 77651,"3,699 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Mibro Watch C3 Blue,Шифра: 58164,"3,499 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Xiaomi Kieslect Lady Calling Watch Lora Gold,Шифра: 55859,"4,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп Lenovo IdeaPad Slim 3 15IAH8 ( GRAY ),Шифра: 57543,"26,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп ASUS Vivobook 15 X1504ZA-NJ865 (Cool Silver),Шифра: 57793,"23,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп LENOVO  IdeaPad 1 15ALC7 ( GRAY ),Шифра: 59750,"22,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп ACER Aspire 3 (A315-44P-R87M),Шифра: 58255,"26,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп ASUS Vivobook X1504VA-NJ925 ( Silver ),Шифра: 59160,"29,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп ASUS Vivobook 15  X1502ZA-BQ1966 (  Quiet Blue ),Шифра: 59711,"31,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп LENOVO  IdeaPad 3 15ABR8 ( GRAY ),Шифра: 55977,"32,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
Лаптоп ASUS TUF GAMING FA506NF-HN009,Шифра: 57385,"46,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
