ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
ST LK-401W+LK-100,Шифра: 47686,629 Ден.,629 Ден.,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/st-lk-401w-lk-10047686,https://setec.mk/image/cache/catalog/Product/47686_0-228x228.jpg
Gembird  Keyboard & Mouse Wireless desktop set,Шифра: 58817,699 Ден.,649 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58817,https://setec.mk/image/cache/catalog/Product/58817_0-228x228.jpg
Gembird  Keyboard & Mouse Wireless desktop set,Шифра: 58818,749 Ден.,649 Ден.,-13%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58818,https://setec.mk/image/cache/catalog/Product/58818_0-228x228.jpg
Gembird  Keyboard & Mouse Wireless desktop set,Шифра: 58819,699 Ден.,649 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58819,https://setec.mk/image/cache/catalog/Product/58819_0-228x228.jpg
Genius Slimstar 126 keyboard,Шифра: 53166,699 Ден.,649 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-126-keyboard53166,https://setec.mk/image/cache/catalog/Product/53166_0-228x228.jpg
Genius Slimstar Q200 keyboard,Шифра: 53165,699 Ден.,649 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-q200-keyboard53165,https://setec.mk/image/cache/catalog/Product/53165_0-228x228.jpg
Genius SlimStar 7230 Wireless Keyboard,Шифра: 56227,699 Ден.,669 Ден.,-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-7230-wireless-keyboard56227,https://setec.mk/image/cache/catalog/Product/56227_0-228x228.jpg
Genius SlimStar KM-160,Шифра: 47477,699 Ден.,669 Ден.,-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/genius-slimstar-km-16047477,https://setec.mk/image/cache/catalog/Product/47477_0-228x228.jpg
Meetion K9000 GAMING Keyboard Black,Шифра: 17447,699 Ден.,669 Ден.,-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k9000-gaming-keyboard-black17447,https://setec.mk/image/cache/catalog/Product/17447_0-228x228.jpg
Meetion K9000 GAMING Keyboard White,Шифра: 17448,699 Ден.,669 Ден.,-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k9000-gaming-keyboard-white17448,https://setec.mk/image/cache/catalog/Product/17448_0-228x228.jpg
Meetion WK841 Black Chocolate Keyboard Wireless,Шифра: 16099,699 Ден.,669 Ден.,-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-wk841-black-chocolate-keyboard-wireless-16099,https://setec.mk/image/cache/catalog/Product/16099_0-228x228.jpg
Meetion WK841 White Chocolate Keyboard Wireless,Шифра: 16373,699 Ден.,669 Ден.,-4%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-wk841-white-chocolate-keyboard-wireless-16373,https://setec.mk/image/cache/catalog/Product/16373_0-228x228.jpg
Genius Gaming Keyboard Scorpion K215,Шифра: 14668,799 Ден.,679 Ден.,-15%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=14668,https://setec.mk/image/cache/catalog/Product/14668_0-228x228.jpg
Delux Wifi Combo KA150G+M136GX,Шифра: 44798,799 Ден.,689 Ден.,-14%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/delux-wifi-combo-ka150g-m136gx44798,https://setec.mk/image/cache/catalog/Product/44798_0-228x228.jpg
Genius Gaming Keyboard Scorpion K7,Шифра: 14792,799 Ден.,759 Ден.,-5%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=14792,https://setec.mk/image/cache/catalog/Product/14792_0-228x228.jpg
Delux DLK-K9700  GAMING Keyboard,Шифра: 48082,899 Ден.,809 Ден.,-10%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/delux-dlk-k9700-gaming-keyboard48082,https://setec.mk/image/cache/catalog/Product/48082_0-228x228.jpg
Gembird Keyboard & Mouse & Mousepad & Headphones  4-in-1 office kit,Шифра: 58822,899 Ден.,829 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58822,https://setec.mk/image/cache/catalog/Product/58822_0-228x228.jpg
Meetion C4120 Wireless Combo White Keyboard + Mouse ABS Plastic,Шифра: 16383,849 Ден.,829 Ден.,-2%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-c4120-wireless-combo-white-keyboard-mouse-abs-plastic16383,https://setec.mk/image/cache/catalog/Product/16383_0-228x228.jpg
Meetion KB015 One-hand Gaming Keyboard Black,Шифра: 17524,899 Ден.,829 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=17524,https://setec.mk/image/cache/catalog/Product/17524_0-228x228.jpg
